# key	source_text	translation
# 只写确认来自 DBOZero\pack\lang0.pak 的明面文本。
# translation 会按 GBK/CP936 写入 lang0.pak 的 value bytes。
DST_ITEM_GRADE_MYTHIC	Hakai	破坏
DST_MARKET_SELL_CANCEL	[align = "center"][font size = "12" color="f4d762"]Cancel Auction[/font][br][br][font size = "10" color="269eff"]Cancel the following:[/font][br][br][font size = "10" color="ffffff"]%s[br]Sale Price: %s Zeni[/font][br][br][font size = "10" color="f36a7c"]Do you want to Cancel?[/font][br]	[align = "center"][font size = "12" color="f4d762"]取消拍卖[/font][br][br][font size = "10" color="269eff"]取消以下物品:[/font][br][br][font size = "10" color="ffffff"]%s[br]售价: %s 索[/font][br][br][font size = "10" color="f36a7c"]是否取消?[/font][br]
DST_MARKET_SELL_ITMEPRICE	Price	价格
DST_MARKET_SELL_NOT	Cancel	取消
DST_MARKET_SELL_PRICE	Charge	费用
DST_MARKET_SERACH_ITEM	Search	搜索
DST_MARKET_SERACH_REFRESH	Refresh	刷新
DST_MARKET_STUFF	Material	材料
DST_MARKET_SUBCATEGORY_INFO	Choose Sub Category	选择子分类
DST_MARKET_SUBCATEGORY_NOT_SERACH	Select a subcategory	请选择子分类
DST_MARKET_SUBWEAPON	Sub Weapon	副武器
DST_MARKET_SUPERIORTYPE	Super	优质
DST_MARKET_TITLE	Auction House	拍卖行
DST_MARKET_UPGRADE_STONE_ARMOR	Armor Upgrade	防具强化石
DST_MARKET_UPGRADE_STONE_WEAPON	Weapon Upgrade	武器强化石
DST_MARKET_USELEVLE	Level	等级
DST_MARKET_USE_ITEM	Available	可用
DST_MARKET_WEAPON	Weapon	武器
# AUTO_BLOCK_LANG0_MARKET_20260608_END

DST_STAFF	Staff	杖
DST_MIGHTY_MAJIN	Mighty Majin	大魔人
DST_WONDER_MAJIN	Wonder Majin	意魔人
DST_STREET_FIGHTER	Fighter	格斗家
DST_SWORD_MASTER	Swordsman	剑术师
DST_DARK_WARRIOR	Dark Warrior	魔导战士
DST_SHADOW_KNIGHT	Shadow Knight	魔界战士
DST_DENDEN_HEALER	Dende Priest	天天导师
DST_POCO_SUMMONER	Poko Priest	波可导师
DST_ULTI_MA	Ultimate Majin	奥迪魔
DST_GRAND_MA	Grand Chef Majin	格兰魔
DST_PLAS_MA	Plasma Majin	普利兹魔
DST_KAR_MA	Karma Majin	卡尔魔
DST_SCROLL	Scroll	卷轴
DST_GEM	Gem	宝
DST_STICK	Stick	棍
DST_SWORD	Sword	剑
DST_FAN	Fan	扇
DST_WAND	Wand	短棒
DST_INSTRUMENT	Trumpet	乐器
DST_DRUM	Drum	鼓
DST_MASK	Mask	面具

# AUTO_BLOCK_LANG0_MAILSYSTEM_20260608_BEGIN
DST_MAILSYSTEM_ALREADY_OPEN	Mail window is already open.	邮件窗口已打开。
DST_MAILSYSTEM_ATTACH_DISABLED_MSG	Can't Attach	无法附加
DST_MAILSYSTEM_DELMAILNUM	Deleted Mail	已删邮件
DST_MAILSYSTEM_MAILBOX	Mailbox	邮箱
DST_MAILSYSTEM_MAIL_ALARM	[Notifications] %s	[通知] %s
DST_MAILSYSTEM_MAIL_ATTACH	Attach	附加
DST_MAILSYSTEM_MAIL_ATTACH_2	Item Attachment	附加物品
DST_MAILSYSTEM_MAIL_ATTACH_REQ	Request	请求
DST_MAILSYSTEM_MAIL_ATTACH_SEND	Send	发送
DST_MAILSYSTEM_MAIL_AWAY	Away	离开
DST_MAILSYSTEM_MAIL_AWAY_OFF	Away Off	离开关
DST_MAILSYSTEM_MAIL_AWAY_ON	Away On	离开开
DST_MAILSYSTEM_MAIL_CONTENT	Content	内容
DST_MAILSYSTEM_MAIL_DELETE	Delete	删除
DST_MAILSYSTEM_MAIL_EMPTYMAIL	Your Mailbox is Empty	邮箱为空
DST_MAILSYSTEM_MAIL_EXPIRED_DAY	%u Day	%u天
DST_MAILSYSTEM_MAIL_EXPIRED_DAY_LOCK	Lock	锁定
DST_MAILSYSTEM_MAIL_EXPIRED_DAY_TITLE	Expiration Date	到期日
DST_MAILSYSTEM_MAIL_FROM	From	来自
DST_MAILSYSTEM_MAIL_MARKET	World Markets	世界市场
DST_MAILSYSTEM_MAIL_REPLY	Reply	回复
DST_MAILSYSTEM_MAIL_RESET	Reset	重置
DST_MAILSYSTEM_MAIL_RETURN	Return	退回
DST_MAILSYSTEM_MAIL_SEND	Send	发送
DST_MAILSYSTEM_MAIL_SENDDATE	Date Sent: %u/%u/%u %s %u:%u	发送日:%u/%u/%u %s %u:%u
DST_MAILSYSTEM_MAIL_SYSTEM_MAIL	[System Mail]	[系统邮件]
DST_MAILSYSTEM_MAIL_TO	To	至
DST_MAILSYSTEM_MAIL_ZENNY	Zeni	索尼
DST_MAILSYSTEM_MAIL_ZENNY_REQ	Give Zeni (BEWARE SCAM)	索尼请求(慎防诈骗)
DST_MAILSYSTEM_MAIL_ZENNY_SEND	Take Zeni	领取索尼
DST_MAILSYSTEM_MSG_ATTACH_ITEM_NOT	Item can't be attached to Mail	物品无法附加到邮件
DST_MAILSYSTEM_MSG_ATTACH_ZENNY	Maximum Zeni to attach or request is %s	最多可附加或请求%s索尼
DST_MAILSYSTEM_MSG_AWAY_OFF	[align = "center"]Available Status[br][br]If you turn off Away Mode[br]you can receive Mail again.[br][br]Turn Off Away Mode?	[align = "center"]可收信状态[br][br]关闭离开模式后[br]可再次接收邮件。[br][br]关闭离开模式?
DST_MAILSYSTEM_MSG_AWAY_ON	[align = "center"]Away Status[br][br]If you set your status to away[br]all Mail will be Denied.[br]You won't receive Mail.[br][br]Switch to Away Mode?	[align = "center"]离开状态[br][br]设为离开后[br]所有邮件会被拒收。[br]你将无法接收邮件。[br][br]切换到离开模式?
DST_MAILSYSTEM_MSG_DELETE	[align = "center"][font size = "12" color="f4d762"]Delete Mail[/font][br][br][font size = "10" color="f36a7c"]Deleting the selected Mail.[br][br]It's not possible to recover the deleted Mail[br]Please Choose carefully.[/font][br][br][font size = "10" color="ffffff"]Delete Selected Mail?[/font]	[align = "center"][font size = "12" color="f4d762"]删除邮件[/font][br][br][font size = "10" color="f36a7c"]将删除所选邮件。[br][br]删除后无法恢复，[br]请谨慎选择。[/font][br][br][font size = "10" color="ffffff"]删除所选邮件?[/font]
DST_MAILSYSTEM_MSG_MAIL_CONTENT_BUFFEROVER	Max 128 Characters	最多128字符
DST_MAILSYSTEM_MSG_MAIL_CONTENT_SLANGDER	[align = "center"]Compose Mail[br][br]In the mail you used forbidden words[br][br]please edit	[align = "center"]写邮件[br][br]邮件内容含禁用词[br][br]请修改
DST_MAILSYSTEM_MSG_MAIL_NOT_LOCK	Mail Zeni Requests can't be Locked	索尼请求邮件不能锁定
DST_MAILSYSTEM_MSG_NOTFIND_SELECTED_MAIL	No Mail Selected	未选择邮件
DST_MAILSYSTEM_MSG_PLEASE_MAILCONTENT	[align = "center"]Mail[br][br]Make sure that all fields,[br]are filled in[br][br]you can use[br]a maximum of 128 characters	[align = "center"]邮件[br][br]请确认所有字段[br]都已填写[br][br]最多可输入[br]128个字符
DST_MAILSYSTEM_MSG_PLEASE_TARGETNAME	[align = "center"]Sending Mail[br][br]Sending Mail, enter name[br]of receiver.[br][br]Character name must be[br]2-8 characters.[br][br]Type name of receiver.	[align = "center"]发送邮件[br][br]请输入收件人名称。[br][br]角色名必须为[br]2-8个字符。[br][br]请输入收件人。
DST_MAILSYSTEM_MSG_RECEIVE_ACCEPT_MAIL	Received Mail from %s	收到%s的邮件
DST_MAILSYSTEM_MSG_RECEIVE_ITEM	Received %s Item Attached to Mail	收到邮件附加物品%s
DST_MAILSYSTEM_MSG_RECEIVE_ITEM_ACCEPT	[align = "center"][font size = "12" color="f4d762"]Receiving Mail[/font][br][br][font size = "10" color="269eff"]There are[br]attached Items in this Mail.[br][br]Received[br]attached items go to your Inventory.[/font][br][br][font size = "10" color="f36a7c"]Item: %s[br][br]Make sure you have an Empty Slot.[/font][br][br][font size = "10" color="ffffff"]Receive Item?[/font]	[align = "center"][font size = "12" color="f4d762"]领取邮件[/font][br][br][font size = "10" color="269eff"]此邮件中[br]有附加物品。[br][br]领取后[br]物品会进入背包。[/font][br][br][font size = "10" color="f36a7c"]物品: %s[br][br]请确认背包有空格。[/font][br][br][font size = "10" color="ffffff"]领取物品?[/font]
DST_MAILSYSTEM_MSG_RECEIVE_ITEM_ZENNY_ACCEPT	[align = "center"]Receive Item & Zeni[br][br]An Item & Zeni[br]are attached.[br][br]There's an Item attached to Mail[br]with Zeni.[br][br]Zeni: %s[br]Item: %s[br][br]Make sure you have an Empty Slot.[br][br]Receive Item & Zeni?	[align = "center"]领取物品和索尼[br][br]邮件附有物品和索尼。[br][br]索尼: %s[br]物品: %s[br][br]请确认背包有空格。[br][br]领取物品和索尼?
DST_MAILSYSTEM_MSG_RECEIVE_ITEM_ZENNY_REQ_ACCEPT	[align = "center"][font size = "12" color="f4d762"]Item/Zeni Request[/font][br][br][font size = "10" color="269eff"]There is a Mail requesting[br]Zeni for attached Item.[br][br]If you receive this Mail, you'll receive the attached Item[br]and send Zeni[br]to Player.[/font][br][br][font size = "10" color="f36a7c"]Item: %s[br]Cost Zeni: %s[br][br]You're not getting Zeni but paying.[br]Select carefully.[/font][br][br][font size = "10" color="ffffff"]Accept Item/Zeni Request?[/font]	[align = "center"][font size = "12" color="f4d762"]物品/索尼请求[/font][br][br][font size = "10" color="269eff"]此邮件请求索尼换取物品。[br][br]领取后会获得附加物品，[br]并向玩家支付索尼。[/font][br][br][font size = "10" color="f36a7c"]物品: %s[br]花费索尼: %s[br][br]这是付款而不是收款，[br]请谨慎选择。[/font][br][br][font size = "10" color="ffffff"]接受物品/索尼请求?[/font]
DST_MAILSYSTEM_MSG_RECEIVE_ZENNY	Received %s Zeni	收到%s索尼
DST_MAILSYSTEM_MSG_RECEIVE_ZENNY_ACCEPT	[align = "center"][font size = "12" color="f4d762"]Receive Zeni[/font][br][br][font size = "10" color="269eff"]There is[br]Zeni attached to this Mail.[br][br]You'll receive[br]the attached Zeni.[/font][br][br][font size = "10" color="f36a7c"]Zeni: %s[/font][br][br][font size = "10" color="ffffff"]Receive Zeni?[/font]	[align = "center"][font size = "12" color="f4d762"]领取索尼[/font][br][br][font size = "10" color="269eff"]此邮件附有索尼。[br][br]领取后[br]索尼会到账。[/font][br][br][font size = "10" color="f36a7c"]索尼: %s[/font][br][br][font size = "10" color="ffffff"]领取索尼?[/font]
DST_MAILSYSTEM_MSG_RECEIVE_ZENNY_REQ	%s requested Zeni sent to %s	%s请求向%s发送索尼
DST_MAILSYSTEM_MSG_RECEIVE_ZENNY_REQ_ACCEPT	[align = "center"][font size = "12" color="f4d762"]Zeni Request[/font][br][br][font size = "10" color="ffffff"]There is content requesting Zeni[br]in this mail.[br][br]If you receive this Mail you send the requested Zeni[br]to Player.[/font][br][br][font size = "10" color="f36a7c"]Cost Zeni: %s[br][br]This is NOT receiving Zeni but paying.[br]Select Carefully.[/font][br][br][font size = "10" color="ffffff"]Accept Request?[/font]	[align = "center"][font size = "12" color="f4d762"]索尼请求[/font][br][br][font size = "10" color="ffffff"]此邮件请求索尼。[br][br]领取此邮件后，你会把请求的索尼[br]发送给玩家。[/font][br][br][font size = "10" color="f36a7c"]花费索尼: %s[br][br]这是付款，不是收款。[br]请谨慎选择。[/font][br][br][font size = "10" color="ffffff"]接受请求?[/font]
DST_MAILSYSTEM_MSG_REPLY_MAIL_ITEM	%s receive %s Item from 	%s收到%s物品，来自
DST_MAILSYSTEM_MSG_REPLY_MAIL_ITEM_ZENNY	%s Item received & %s Zeni which %s sent	%s物品已收，%s索尼由%s发送
DST_MAILSYSTEM_MSG_REPLY_MAIL_ITEM_ZENNY_REQ	%s received %s Items & Sent requested %s Zeni	%s收到%s物品并发送请求的%s索尼
DST_MAILSYSTEM_MSG_REPLY_MAIL_ZENNY	%s Zeni received that %s sent	%s索尼已收到，来自%s
DST_MAILSYSTEM_MSG_REPLY_MAIL_ZENNY_REQ	%s sent %s Zeni	%s发送%s索尼
DST_MAILSYSTEM_MSG_RETRUN_MAIL	%s Returned Mail.	%s退回邮件。
DST_MAILSYSTEM_MSG_RETURN	[align = "center"][font size = "12" color="f4d762"]Mail Return[/font][br][br][font size = "10" color="f36a7c"]Return selected Mail[br]Caution[br][br]Once returned you can't receive again.[/font][br][br][font size = "10" color="ffffff"]Do you want to return the Mail?[/font]	[align = "center"][font size = "12" color="f4d762"]退回邮件[/font][br][br][font size = "10" color="f36a7c"]退回所选邮件。[br]注意:[br][br]退回后无法再次领取。[/font][br][br][font size = "10" color="ffffff"]要退回此邮件吗?[/font]
DST_MAILSYSTEM_MSG_SELECT_REQ_OR_SEND	[align = "center"][font size = "12" color="f4d762"]Request/Send Zeni[/font][br][br][font size = "10" color="269eff"]Requesting/Sending Zeni in mail[/font][br][font size = "10" color="ffffff"]Select[br][br]attach Zeni by Requesting or Sending[br]Attach Zeni.[/font]	[align = "center"][font size = "12" color="f4d762"]请求/发送索尼[/font][br][br][font size = "10" color="269eff"]在邮件中请求或发送索尼[/font][br][font size = "10" color="ffffff"]请选择[br][br]请求对方支付索尼[br]或附加索尼。[/font]
DST_MAILSYSTEM_MSG_SEND_BASIC	[align = "center"][font size = "12" color="f4d762"]Send Mail[/font][br][br][font size = "10" color="269eff"]Sending mail costs Zeni.[/font][br][br][font size = "10" color="f36a7c"]Fee: %s Zeni[/font][br][br][font size = "10" color="ffffff"]Send Mail?[/font]	[align = "center"][font size = "12" color="f4d762"]发送邮件[/font][br][br][font size = "10" color="269eff"]发送邮件需要索尼。[/font][br][br][font size = "10" color="f36a7c"]费用: %s索尼[/font][br][br][font size = "10" color="ffffff"]发送邮件?[/font]
DST_MAILSYSTEM_MSG_SEND_ITEM	[align = "center"][font size = "12" color="f4d762"]Send Item[/font][br][br][font size = "10" color="269eff"]Sending Items Costs Zeni.[/font][br][br][font size = "10" color="f36a7c"]Fee: %s Zeni[br]Attached item: %s[/font][br][br][font size = "10" color="ffffff"]Send Mail? [/font]	[align = "center"][font size = "12" color="f4d762"]发送物品[/font][br][br][font size = "10" color="269eff"]发送物品需要索尼。[/font][br][br][font size = "10" color="f36a7c"]费用: %s索尼[br]附加物品: %s[/font][br][br][font size = "10" color="ffffff"]发送邮件? [/font]
DST_MAILSYSTEM_MSG_SEND_ITEM_ZENNY	[align = "center"][font size = "12" color="f4d762"]Item/Zeni[/font][br][br][font size = "10" color="269eff"]Sending mail and item costs Zeni.[/font][br][br][font size = "10" color="f36a7c"]Fee: %s Zeni[br]Attached Item: %s[br][br]Zeni: %s[/font][br][br][font size = "10" color="ffffff"]Send Mail?[/font]	[align = "center"][font size = "12" color="f4d762"]物品/索尼[/font][br][br][font size = "10" color="269eff"]发送邮件和物品需要索尼。[/font][br][br][font size = "10" color="f36a7c"]费用: %s索尼[br]附加物品: %s[br][br]索尼: %s[/font][br][br][font size = "10" color="ffffff"]发送邮件?[/font]
DST_MAILSYSTEM_MSG_SEND_ITEM_ZENNY_REQ	[align = "center"][font size = "12" color="f4d762"]Item/Zeni Request[/font][br][br][font size = "10" color="269eff"]Sending mail costs Zeni.[/font][br][br][font size = "10" color="f36a7c"]Fee: %s Zeni[br]Attached Item: %s[br]Zeni requested: %s[/font][br][br][font size = "10" color="ffffff"]Send Mail?[/font]	[align = "center"][font size = "12" color="f4d762"]物品/索尼请求[/font][br][br][font size = "10" color="269eff"]发送邮件需要索尼。[/font][br][br][font size = "10" color="f36a7c"]费用: %s索尼[br]附加物品: %s[br]请求索尼: %s[/font][br][br][font size = "10" color="ffffff"]发送邮件?[/font]
DST_MAILSYSTEM_MSG_SEND_SUCCEED	Sent Mail to %s	邮件已发给%s
DST_MAILSYSTEM_MSG_SEND_ZENNY	[align = "center"][font size = "12" color="f4d762"]Send Zeni[/font][br][br][font size = "10" color="269eff"]Sending mail costs Zeni.[/font][br][br][font size = "10" color="f36a7c"]Fee: %s Zeni[br]Zeni: %s[/font][br][br][font size = "10" color="ffffff"]Send Mail?[/font]	[align = "center"][font size = "12" color="f4d762"]发送索尼[/font][br][br][font size = "10" color="269eff"]发送邮件需要索尼。[/font][br][br][font size = "10" color="f36a7c"]费用: %s索尼[br]索尼: %s[/font][br][br][font size = "10" color="ffffff"]发送邮件?[/font]
DST_MAILSYSTEM_MSG_SEND_ZENNY_REQ	[align = "center"][font size = "12" color="f4d762"]Zeni Request[/font][br][br][font size = "10" color="269eff"]Sending mail costs Zeni.[/font][br][br][font size = "10" color="f36a7c"]Fee: %s Zeni[br]Zeni: %s[/font][br][br][font size = "10" color="ffffff"]Send Mail?[/font]	[align = "center"][font size = "12" color="f4d762"]索尼请求[/font][br][br][font size = "10" color="269eff"]发送邮件需要索尼。[/font][br][br][font size = "10" color="f36a7c"]费用: %s索尼[br]索尼: %s[/font][br][br][font size = "10" color="ffffff"]发送邮件?[/font]
DST_MAILSYSTEM_NEGATIVE_CHECK_ATTACH	Can't Use Attachments in this Mail	此邮件无法使用附件
DST_MAILSYSTEM_NEGATIVE_CHECK_LOCK	You can't select Locked Mail	不能选择锁定邮件
DST_MAILSYSTEM_NOTREADMAILNUM	Unread Mail	未读邮件
DST_MAILSYSTEM_NOT_DELETE_BY_ITEMZENNY	Can't delete item or Zeni.	无法删除含物品或索尼邮件
DST_MAILSYSTEM_NOT_DELETE_BY_LOCK	Mail is locked and can't be deleted.	邮件已锁定，无法删除。
DST_MAILSYSTEM_NOT_DELETE_BY_ZENNY_CLAIM	Zeni claim can't be deleted.	索尼请求不能删除。
DST_MAILSYSTEM_NOT_IDENTIFICATION	Can't Identify	无法鉴定
DST_MAILSYSTEM_NOT_IDENTIFICATION_ITEM	Mystery Item	未知物品
DST_MAILSYSTEM_OPEN_SENDMAIL_CONFIRM_MSGBOX	[align = "center][font size="12"color="f4d762"]Mailbox Access[/font][br][br][font size="10"color="269eff"]Pet use rings[br]to get remote access to Mailbox[br]Connecting: You are connecting[br]Connect Now?[/font]	[align = "center][font size="12"color="f4d762"]邮箱访问[/font][br][br][font size="10"color="269eff"]宠物使用戒指[br]可远程连接邮箱。[br]连接中: 正在连接[br]现在连接?[/font]
DST_MAILSYSTEM_STATUS	Mail Box	邮箱
DST_MAILSYSTEM_STATUS_FULL	Mailbox is Full	邮箱已满
DST_MAILSYSTEM_STATUS_UNREAD	You have %u Unread Mail	你有%u封未读邮件
DST_MAILSYSTEM_TAB_MAILBOX	Inbox	收件
DST_MAILSYSTEM_TAB_READMAIL	Read	已读
DST_MAILSYSTEM_TAB_SENDMAIL	Send	发送
DST_MAILSYSTEM_TAB_SYSTEMMAILBOX	System Mail	系统邮件
DST_MAILSYSTEM_TOOLTIP_ATTACHACTION	Receive items or Zeni, or pay Zeni requested by others.	领取物品或索尼，或支付他人请求的索尼。
DST_MAILSYSTEM_TOOLTIP_RECEIVE_ALL	Receive items and Zeni from eligible mail (up to 6 per use, 15s cooldown).	从符合条件的邮件领取物品和索尼(每次最多6封，冷却15秒)。
DST_MAILSYSTEM_TOOLTIP_DELETE_RESOLVED	Delete resolved mail in batches of 6.	批量删除已处理邮件，每次最多6封。
DST_MAILSYSTEM_TOOLTIP_DELETE_BUTTON	Delete Selected Mail	删除所选邮件
DST_MAILSYSTEM_MSG_RECEIVE_ALL_COOLDOWN	Please wait 15 seconds before trying again.	请等待15秒后再试。
DST_MAILSYSTEM_MSG_RECEIVE_ALL_NONE	No mail available to receive.	没有可领取的邮件。
DST_MAILSYSTEM_MSG_DELETE_RESOLVED_NONE	No resolved mail to delete.	没有可删除的已处理邮件。
DST_MAILSYSTEM_TOOLTIP_EXPIREDDAY	Mail will return/expire in set Time Period	邮件将在设定时间后退回或过期
DST_MAILSYSTEM_TOOLTIP_FRIEND_LIST	Friend List	好友列表
DST_MAILSYSTEM_TOOLTIP_NOT_ATTACH	Register Item that will be Attached	登记要附加的物品
DST_MAILSYSTEM_TOOLTIP_RELOAD	Refresh	刷新
GAME_MAIL_ALREADY_READ	Mail has already been read.	邮件已读。
GAME_MAIL_CANT_SEND_MAIL_TO_YOURSELF	Can't send mail to yourself.	不能给自己发邮件。
GAME_MAIL_INVALID_LOCK	Mail is locked	邮件已锁
GAME_MAIL_INVALID_RETURN	Impossible to return mail	无法退回邮件
GAME_MAIL_MAILING_PARTS_NOT_FOUND	Don't have a Mail Scouter Chip.	没有邮件史考特芯片。
GAME_MAIL_NOT_FOUND	Mail not found.	邮件未找到。
GAME_MAIL_TRANSMIT_PARTS_NOT_FOUND	Scouter: No Mail chip.	史考特:无邮件芯片。
# AUTO_BLOCK_LANG0_MAILSYSTEM_20260608_END

# AUTO_BLOCK_LANG0_FRIEND_20260608_BEGIN
DST_FRIEND_ADD	Add	加
DST_FRIEND_BLOCK	Block	屏蔽
DST_FRIEND_DELETE	Remove	移除
DST_FRIEND_ERR_EXIST_BLACK	Already Blacklisted	已在黑名单
DST_FRIEND_ERR_EXIST_FRIEND	Already Friends	已是好友
DST_FRIEND_ERR_SELF_EXIT_BLOCK	Can't blacklist yourself	不能屏蔽自己
DST_FRIEND_ERR_SELF_EXIT_FRIENDLIST	Can't befriend yourself	不能加自己好友
DST_FRIEND_INVALID_USER	Invalid User	无效用户
DST_FRIEND_INVITE	Invite	邀请
DST_FRIEND_MAIL	Mail	邮件
DST_FRIEND_MSG_BLACK_ADD	[align = "center"]Blacklist[br][br]Blacklisting[br]Users can't Contact You[br][br]Enter Name	[align = "center"]黑名单[br][br]加入黑名单后[br]该用户无法联系你[br][br]输入名称
DST_FRIEND_MSG_BLACK_ADD_RESULT	%s is added to the blacklist	%s已加入黑名单
DST_FRIEND_MSG_BLACK_DEL_RESULT	%s is removed from the blacklist	%s已移出黑名单
DST_FRIEND_MSG_BLACK_DEL	[align = "center"][font size = "12" color="f4d762"]Remove Blacklist[/font][br][br][font size = "10" color="269eff"]Removing Blacklisted User[/font][br][br][font size = "10" color="ffffff"]Deleting from Blacklist.[/font][br][br][font size = "10" color="f4d7"]Removing: %s[/font][br][br][font size = "10" color="ffffff"]Remove User?[/font]	[align = "center"][font size = "12" color="f4d762"]移出黑名单[/font][br][br][font size = "10" color="269eff"]移除黑名单用户[/font][br][br][font size = "10" color="ffffff"]从黑名单删除。[/font][br][br][font size = "10" color="f4d7"]移除: %s[/font][br][br][font size = "10" color="ffffff"]移除此用户?[/font]
DST_FRIEND_MSG_FRIEND_ADD	[align = "center"][font size = "12" color="f4d762"]Add Friends[/font][br][br][font size = "10" color="f36a7c"]Adding a Friend[br]Friends can be used to make Parties etc.[/font][br][br][font size = "10" color="ffffff"]Enter Name[/font]	[align = "center"][font size = "12" color="f4d762"]添加好友[/font][br][br][font size = "10" color="f36a7c"]添加好友后[br]可方便组队等操作。[/font][br][br][font size = "10" color="ffffff"]输入名称[/font]
DST_FRIEND_MSG_FRIEND_ADD_RESULT	%s is added to the friendlist	%s已加入好友列表
DST_FRIEND_MSG_FRIEND_DEL	[align = "center"][font size = "12" color="f4d762"]Remove Friend[/font][br][br][font size = "10" color="f36a7c"]Removing Friend[/font][br][br][font size = "10" color="ffffff"]Deleting from Friend List.[/font][br][br][font size = "10" color="f36a7c"]Removing: %s[/font][br][br][font size = "10" color="ffffff"]Remove Friend?[/font]	[align = "center"][font size = "12" color="f4d762"]删除好友[/font][br][br][font size = "10" color="f36a7c"]正在删除好友[/font][br][br][font size = "10" color="ffffff"]将从好友列表删除。[/font][br][br][font size = "10" color="f36a7c"]移除: %s[/font][br][br][font size = "10" color="ffffff"]删除好友?[/font]
DST_FRIEND_MSG_FRIEND_DEL_RESULT	%s is removed from the friendlist	%s已从好友列表删除
DST_FRIEND_MSG_FRIEND_MOVE_RESULT	%s moved to the block list	%s已移至黑名单
DST_FRIEND_MSG_LOGIN	%s has logged in	%s已登录
DST_FRIEND_OFFLINE	Offline	离线
DST_FRIEND_SUBJECT_CHANNEL	Channel	频道
DST_FRIEND_SUBJECT_LEVEL	Level	等级
DST_FRIEND_SUBJECT_LOC	Area	区域
DST_FRIEND_SUBJECT_NAME	Name	名称
DST_FRIEND_TAB_BLACKLIST	Blacklist	黑名单
DST_FRIEND_TAB_FRIEND	Friends	好友
DST_FRIEND_TOO_OVER_NAME	Name Too Long	名称过长
DST_FRIEND_WHISPER	Whisper	私聊
# AUTO_BLOCK_LANG0_FRIEND_20260608_END


# GUILD UI START
DST_POPUPMENU_GUILD_APPOINT_SECOND_MASTER	Make Jr. Master	任副会长
DST_POPUPMENU_GUILD_CHANGE_MASTER	Appoint Guild Leader	任命会长
DST_POPUPMENU_GUILD_DISAPPOINT_SECOND_MASTER	Demote Jr. Master	降副会长
DST_POPUPMENU_GUILD_INVITE	Invite to Guild	邀请公会
DST_POPUPMENU_GUILD_KICK_OUT	Expel	踢出
DST_POPUPMENU_GUILD_POST	Send Mail	发邮件
DST_GUILD	Guild	公会
DST_GUILDWAREHOUSE_TITLE_1	Guild Warehouse 1	公会仓库1
DST_GUILDWAREHOUSE_TITLE_2	Guild Warehouse2	公会仓库2
DST_GUILDWAREHOUSE_TITLE_3	Guild Warehouse3	公会仓库3
DST_GUILD_ADD_FUNCTION	[align = "center"][font size = "12" color="f4d762"]%s[/font][br][br][font size = "10" color="269eff"]Improvements[/font][br][br][font size = "10" color="ffffff"]The Following is Required[/font][br][br][font size = "10" color="f36a7c"]Guild Points: %d[br][br]Zeni: %s[/font][br][br][font size = "10" color="ffffff"]Add Feature?[/font]	[align = "center"][font size = "12" color="f4d762"]%s[/font][br][br][font size = "10" color="269eff"]功能扩展[/font][br][br][font size = "10" color="ffffff"]需要以下条件[/font][br][br][font size = "10" color="f36a7c"]公会点数: %d[br][br]索尼: %s[/font][br][br][font size = "10" color="ffffff"]添加功能?[/font]
DST_GUILD_ADD_FUNCTION_NOTIFY_TO_MASTER	[align = "center"][font size = "12" color="f4d762"]Guild Change Made[/font][br][br][font size = "10" color="269eff"]Good Job![/font][br][br][font size = "10" color="f4d762"]Changes are:[br]%s[/font]	[align = "center"][font size = "12" color="f4d762"]公会变更完成[/font][br][br][font size = "10" color="269eff"]做得好![/font][br][br][font size = "10" color="f4d762"]变更内容:[br]%s[/font]
DST_GUILD_ADD_FUNCTION_NOTIFY_TO_MEMBER	Access Changed	权限已变更
DST_GUILD_APPOINT_SECOND_MASTER	[align = "center"][font size = "12" color="f4d762"]Appointment of the Jr. Master[/font][br][br][font size = "10" color="269eff"]Appoint a Jr. Master of the guild.[/font][br][br][font size = "10" color="ffffff"]Following player gets Jr. Master privileges.[/font][br][br][font size = "10" color="f4d762"]Player: %s[/font][br][br][font size = "10" color="ffffff"]Do you want to appoint the player?[/font]	[align = "center"][font size = "12" color="f4d762"]任命副会长[/font][br][br][font size = "10" color="269eff"]任命公会副会长。[/font][br][br][font size = "10" color="ffffff"]以下玩家将获得副会长权限。[/font][br][br][font size = "10" color="f4d762"]玩家: %s[/font][br][br][font size = "10" color="ffffff"]要任命此玩家吗?[/font]
DST_GUILD_ASK_CHANGE_GUILD_EMBLEM_WITH_ZENNY	[align = "center"][font size = "12" color="f4d762"]Change Guild Emblem[/font][br][br][font size = "10" color="ffffff"]If you want to change the guild emblem [br]You need to pay the following amount.[/font][br][br]Cost: %s Zeni[br][br][font size = "10" color="ffffff"]Change Guild Emblem?[/font]	[align = "center"][font size = "12" color="f4d762"]更改公会徽章[/font][br][br][font size = "10" color="ffffff"]若要更改公会徽章，[br]需要支付以下费用。[/font][br][br]费用: %s索尼[br][br][font size = "10" color="ffffff"]更改公会徽章?[/font]
DST_GUILD_CANCELED_DISSOLVE	Dissolve cancelled.	已取消解散。
